Dataset,Algorithm,Vertices,K_Clusters,Num_Starts,Run_ID,Tour_Cost,Runtime_ms,Approximation_Ratio
a280,MST-2-Approx,280,-1,-1,1,3565.00,1,1.3823
a280,MST-2-Approx,280,-1,-1,2,3565.00,1,1.3823
a280,MST-2-Approx,280,-1,-1,3,3565.00,1,1.3823
a280,MST-2-Approx,280,-1,-1,4,3565.00,1,1.3823
a280,MST-2-Approx,280,-1,-1,5,3565.00,1,1.3823
a280,MST-2-Approx,280,-1,-1,6,3565.00,1,1.3823
a280,MST-2-Approx,280,-1,-1,7,3565.00,0,1.3823
a280,MST-2-Approx,280,-1,-1,8,3565.00,0,1.3823
a280,MST-2-Approx,280,-1,-1,9,3565.00,1,1.3823
a280,MST-2-Approx,280,-1,-1,10,3565.00,0,1.3823
a280,Mine,280,8,10,1,2883.00,8,1.1179
a280,Mine,280,8,10,2,2877.00,7,1.1155
a280,Mine,280,8,10,3,2838.00,7,1.1004
a280,Mine,280,8,10,4,2925.00,7,1.1342
a280,Mine,280,8,10,5,3006.00,6,1.1656
a280,Mine,280,16,10,1,3016.00,3,1.1694
a280,Mine,280,16,10,2,3011.00,3,1.1675
a280,Mine,280,16,10,3,3072.00,3,1.1912
a280,Mine,280,16,10,4,2991.00,3,1.1598
a280,Mine,280,16,10,5,2983.00,3,1.1566
a280,Mine,280,32,10,1,3256.00,4,1.2625
a280,Mine,280,32,10,2,3361.00,4,1.3032
a280,Mine,280,32,10,3,3239.00,4,1.2559
a280,Mine,280,32,10,4,3261.00,4,1.2644
a280,Mine,280,32,10,5,3319.00,4,1.2869
xql662,MST-2-Approx,662,-1,-1,1,3552.00,6,1.4135
xql662,MST-2-Approx,662,-1,-1,2,3552.00,7,1.4135
xql662,MST-2-Approx,662,-1,-1,3,3552.00,6,1.4135
xql662,MST-2-Approx,662,-1,-1,4,3552.00,6,1.4135
xql662,MST-2-Approx,662,-1,-1,5,3552.00,6,1.4135
xql662,MST-2-Approx,662,-1,-1,6,3552.00,6,1.4135
xql662,MST-2-Approx,662,-1,-1,7,3552.00,6,1.4135
xql662,MST-2-Approx,662,-1,-1,8,3552.00,6,1.4135
xql662,MST-2-Approx,662,-1,-1,9,3552.00,6,1.4135
xql662,MST-2-Approx,662,-1,-1,10,3552.00,6,1.4135
xql662,Mine,662,12,10,1,2820.00,27,1.1222
xql662,Mine,662,12,10,2,2830.00,30,1.1261
xql662,Mine,662,12,10,3,2777.00,30,1.1051
xql662,Mine,662,12,10,4,2867.00,29,1.1409
xql662,Mine,662,12,10,5,2833.00,25,1.1273
xql662,Mine,662,25,10,1,3070.00,13,1.2216
xql662,Mine,662,25,10,2,2982.00,15,1.1866
xql662,Mine,662,25,10,3,3053.00,14,1.2149
xql662,Mine,662,25,10,4,3070.00,13,1.2216
xql662,Mine,662,25,10,5,3033.00,15,1.2069
xql662,Mine,662,50,10,1,3290.00,28,1.3092
xql662,Mine,662,50,10,2,3235.00,21,1.2873
xql662,Mine,662,50,10,3,3240.00,20,1.2893
xql662,Mine,662,50,10,4,3223.00,24,1.2825
xql662,Mine,662,50,10,5,3220.00,19,1.2813
kz9976,MST-2-Approx,9976,-1,-1,1,1457279.00,987,1.3724
kz9976,MST-2-Approx,9976,-1,-1,2,1457279.00,973,1.3724
kz9976,MST-2-Approx,9976,-1,-1,3,1457279.00,973,1.3724
kz9976,MST-2-Approx,9976,-1,-1,4,1457279.00,981,1.3724
kz9976,MST-2-Approx,9976,-1,-1,5,1457279.00,968,1.3724
kz9976,MST-2-Approx,9976,-1,-1,6,1457279.00,983,1.3724
kz9976,MST-2-Approx,9976,-1,-1,7,1457279.00,979,1.3724
kz9976,MST-2-Approx,9976,-1,-1,8,1457279.00,984,1.3724
kz9976,MST-2-Approx,9976,-1,-1,9,1457279.00,989,1.3724
kz9976,MST-2-Approx,9976,-1,-1,10,1457279.00,973,1.3724
kz9976,Mine,9976,49,10,1,1168690.00,6219,1.1006
kz9976,Mine,9976,49,10,2,1177744.00,6158,1.1091
kz9976,Mine,9976,49,10,3,1170675.00,6308,1.1025
kz9976,Mine,9976,49,10,4,1169727.00,5751,1.1016
kz9976,Mine,9976,49,10,5,1180391.00,6409,1.1116
kz9976,Mine,9976,99,10,1,1193739.00,2318,1.1242
kz9976,Mine,9976,99,10,2,1184515.00,2580,1.1155
kz9976,Mine,9976,99,10,3,1188289.00,2408,1.1190
kz9976,Mine,9976,99,10,4,1185225.00,2504,1.1162
kz9976,Mine,9976,99,10,5,1183411.00,2229,1.1144
kz9976,Mine,9976,198,10,1,1230268.00,4635,1.1586
kz9976,Mine,9976,198,10,2,1222407.00,4513,1.1512
kz9976,Mine,9976,198,10,3,1214230.00,4202,1.1435
kz9976,Mine,9976,198,10,4,1220932.00,4283,1.1498
kz9976,Mine,9976,198,10,5,1224693.00,4607,1.1533
mona-lisa100K,MST-2-Approx,100000,-1,-1,1,8322299.00,49981,1.4455
mona-lisa100K,MST-2-Approx,100000,-1,-1,2,8322299.00,48829,1.4455
mona-lisa100K,MST-2-Approx,100000,-1,-1,3,8322299.00,48707,1.4455
mona-lisa100K,MST-2-Approx,100000,-1,-1,4,8322299.00,48747,1.4455
mona-lisa100K,MST-2-Approx,100000,-1,-1,5,8322299.00,48784,1.4455
mona-lisa100K,MST-2-Approx,100000,-1,-1,6,8322299.00,48862,1.4455
mona-lisa100K,MST-2-Approx,100000,-1,-1,7,8322299.00,48898,1.4455
mona-lisa100K,MST-2-Approx,100000,-1,-1,8,8322299.00,48813,1.4455
mona-lisa100K,MST-2-Approx,100000,-1,-1,9,8322299.00,48735,1.4455
mona-lisa100K,MST-2-Approx,100000,-1,-1,10,8322299.00,48822,1.4455
